Category,Paper Name,Authors,Link to Paper,Abstract (truncated),OpenReview,arXiv
VLA Models,A Generalist Pair-wise Progress Critic Model for Vision-Language-Action Robots,Qi Zhang; shaopeng zhai; Shengzhe Zhang; Litao Liu; TianyiZhang; huang; Ming Zhou,https://icml.cc/virtual/2026/poster/62270,"Recent advances in Vision-Language-Action (VLA) models have significantly improved robotic perception and manipulation capabilities, but still struggling to adapt in dynamic, open-ended real-world environments due to a lack of reliable task progress feedback and improvement mechanisms. To address these challenges, we propose a generalist Vision Language Action-Critic model, VLAC, which can integrate both human and robot data, and unify action policy and task progress critic within a single autoregressive architecture. Specifically, we propose a scalable and generalizable pair-wise progress und",https://openreview.net/forum?id=i7mfaYYLDf,
VLA Models,Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,Xianzhe Fan; Shengliang Deng; Xiaoyang Wu; Yuxiang Lu; Zhuoling Li; Mi Yan; Yujia Zhang; Zhizheng Zhang; He Wang; Hengshuang Zhao,https://icml.cc/virtual/2026/poster/60472,"Existing Vision-Language-Action (VLA) models typically take 2D images as visual input, which limits their spatial understanding in complex scenes. How can we incorporate 3D information to enhance VLA capabilities? We conduct a pilot study across different observation spaces and visual representations. The results show that explicitly lifting visual input into point clouds yields representations that better complement their corresponding 2D representations. To address the challenges of (1) scarce 3D data and (2) the domain gap induced by cross-environment differences and depth-scale biases, we ",https://openreview.net/forum?id=zyMvoKYWMZ,https://arxiv.org/abs/2602.00807
VLA Models,Bring My Cup! Personalizing Vision-Language-Action Models with Visual Attentive Prompting,Sangoh Lee; Sangwoo Mo; Wook-Shin Han,https://icml.cc/virtual/2026/poster/62528,"While Vision-Language-Action (VLA) models generalize well to generic instructions, they struggle with personalized commands such as ""bring my cup,"" where the robot must act on one specific instance among visually similar objects. We study this setting of manipulating personal objects, in which a VLA must identify and control a user-specific object unseen during training using only a few reference images. To address this challenge, we propose Visual Attentive Prompting (VAP) , a simple-yet-effective training-free perceptual adapter that equips frozen VLAs with top-down selective attention. VAP ",https://openreview.net/forum?id=fm6Z3wfTae,https://arxiv.org/abs/2512.20014
VLA Models,Can VLMs Diagnose and Recover from VLA Manipulation Faults?,Bowen Yan; Jiahao Xiao; Kehui Liu; Jianbo Zhang; Zicheng Zhang; Qi Jia; Zhongjie Jia; Haoming Song; Chunyi Li; Bin Zhao; Guangtao Zhai,https://icml.cc/virtual/2026/poster/64203,"Existing VLA models frequently fail in robotic manipulation tasks, with poorly structured fault types that often require expert diagnosis.While VLMs offer strong explanatory capabilities, their effectiveness in assisting VLAs is limited by their unclear role in diagnostics and inadequate collaboration mechanisms.To address this, we introduce VLA-FixBench, a fault evaluation dataset that spans perception, planning, and control failures, and provides annotations for task stages, fault types, and spatiotemporal repair strategies.We further propose FaultEval, a static-to-dynamic-to-real evaluation",https://openreview.net/forum?id=Q0rAQZg9t5,
VLA Models,CaP-X: A Framework for Benchmarking and Improving Coding Agents for Robot Manipulation,Letian Fu; Justin Yu; Karim El-Refai; Ethan Kou; Haoru Xue; Huang Huang; Wenli Xiao; Li Fei-Fei; Guanya Shi; Jiajun Wu; S. Sastry; Yuke Zhu; Ken Goldberg; Jim Fan,https://icml.cc/virtual/2026/poster/66369,"“Code-as-Policy” considers how executable code can complement data-intensive Vision-LanguageAction (VLA) methods, yet their effectiveness as autonomous controllers for embodied manipulation remains underexplored. We present CaPX, an open-access framework for systematically studying Code-as-Policy agents in robot manipulation. At its core is CaP-Gym, an interactive environment in which agents control robots by synthesizing and executing programs that compose perception and control primitives. Building on this foundation, CaP-Bench evaluates frontier language and vision-language models across va",https://openreview.net/forum?id=4JRO9plGAI,
VLA Models,Characterizing Vision-Language-Action Models across XPUs: Constraints and Acceleration for On-Robot Deployment,Kaijun Zhou; Da Peng; Qiwei Chen; Zhiyang Li; Xijun Li; Jinyu Gu,https://icml.cc/virtual/2026/poster/65223,"Vision-Language-Action (VLA) models are promising for generalist robot control, but on-robot deployment is bottlenecked by real-time inference under tight cost and energy budgets. Most prior evaluations rely on desktop-grade GPUs, obscuring the trade-offs and opportunities offered by heterogeneous edge accelerators (GPUs/XPUs/NPUs). We present a systematic framework for low-cost VLA deployment via model--hardware co-characterization. First, we build a cross-accelerator leaderboard and evaluate model--hardware pairs under \textbf{CET} (Cost, Energy, Time), showing that ``right-sized'' edge devi",https://openreview.net/forum?id=Ffdn32iFeH,https://arxiv.org/abs/2604.24447
VLA Models,Contrastive Representation Regularization for Vision-Language-Action Models,Taeyoung Kim; Jimin Lee; Myungkyu Koo; Dongyoung Kim; Kyungmin Lee; Changyeon Kim; Younggyo Seo; Jinwoo Shin,https://icml.cc/virtual/2026/poster/62819,"Vision-Language-Action (VLA) models have shown strong capabilities in robot manipulation by leveraging rich representations from pre-trained Vision-Language Models (VLMs). However, their representations arguably remain suboptimal, lacking sensitivity to robotic signals such as control actions and proprioceptive information. To address the issue, we introduce Robot State-aware Contrastive Loss (RS-CL), a simple and effective representation regularization for VLA models, designed to bridge the gap between VLM representations and robotic signals. In particular, RS-CL aligns the representations mo",https://openreview.net/forum?id=cyIUoRizkW,
VLA Models,Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,Zhixuan Liang; Yizhuo Li; Tianshuo Yang; CHENGYUE WU; Sitong Mao; Liuao Pei; Tian Nian; Shunbo Zhou; Xiaokang Yang; Jiangmiao Pang; Yao Mu; Ping Luo,https://icml.cc/virtual/2026/poster/62902,"Vision–Language–Action (VLA) models adapt large vision–language backbones to map images and instructions into robot actions. However, prevailing VLAs either generate actions autoregressively in a fixed left-to-right order or attach separate diffusion heads outside the backbone, fragmenting information pathways and hindering unified, scalable architectures. We present Discrete Diffusion VLA, a unified-transformer policy that models discretized action chunks with discrete diffusion retaining progressive refinement inside the VLM backbone. Our method achieves an adaptive decoding order that resol",https://openreview.net/forum?id=c3BVcHcSiR,https://arxiv.org/abs/2508.20072
VLA Models,Dismantling the Illusion of Vision-Language-Action Models Competence via Explicit Distributional Shifts,Xueyang Zhou; Yangming Xu; Guiyao Tie; Yongchao Chen; Chaoran Hu; Bo Tao; xingwei zhao; Xiang Xiang; Pan Zhou; Lichao Sun,https://icml.cc/virtual/2026/poster/64080,"Given that simulation can never exhaustively enumerate reality, generalization is the determining factor for whether Vision-Language-Action (VLA) models can translate benchmark success into real-world functionality. However, current evaluation protocols often incentivize mechanical memorization rather than robust policy learning, leading to a paradoxical duality of failure: high-scoring models exhibit spurious invariance to semantic changes while simultaneously displaying extreme brittleness to trivial environmental perturbations. To address this, we introduce LIBERO-Gen , a diagnostic benchma",https://openreview.net/forum?id=R7vl47raSn,
VLA Models,DyGRO-VLA: Cross-Task Scaling of Vision–Language–Action Models via Dynamic Grouped Residual Optimization,Sixu Lin; Yunpeng Qing; Litao Liu; Ming Zhou; Ruixing Jin; Xiaoyi Fan; Guiliang Liu,https://icml.cc/virtual/2026/poster/60681,"Recent progress in Reinforcement Learning (RL) provides a principled approach to optimizing Vision-Language-Action (VLA) models, facilitating a shift from trajectory imitation to active learning in the task environment. Despite improvements in control precision, most RL optimizers remain task-specific, which reduces VLA models from generalist controllers to policies that overfit to a narrow set of tasks. In this study, we conduct an in-depth analysis of this phenomenon and highlight the importance of cross-task feature representations for improving the generalizability of VLA models. Motivated",https://openreview.net/forum?id=xg5k9pCYR7,https://arxiv.org/abs/2605.17486
VLA Models,EcoVLA: Environment-Aware Adaptive Pruning with Interleaved Inference Orchestration for Vision-Language-Action Models,Yuting Huang; Leilei Ding; Zhipeng Tang; Zenghuan Zhu; Jiajun Deng; Xinrui Lin; Shuo Liu; Haojie Ren; Jianmin Ji; Yanyong Zhang,https://icml.cc/virtual/2026/poster/66030,"While Vision-Language-Action (VLA) models hold promise in embodied intelligence, their large parameter counts lead to substantial inference latency that hinders real-time manipulation, motivating parameter sparsification. However, as the environment evolves during VLA execution, the optimal sparsity patterns change accordingly. Static pruning lacks the adaptability required for environment dynamics, whereas fixed-interval dynamic layer pruning suffers from coarse granularity and high retraining overheads. To bridge this gap, we propose **EcoVLA**, a training-free, plug-and-play adaptive prunin",https://openreview.net/forum?id=7kH5uphAes,https://arxiv.org/abs/2602.00780
VLA Models,Embodied Interpretability: Linking Causal Understanding to Generalization in Vision-Language-Action Models,Hanxin Zhang; Mingshuo Xu; Abdulqader Dhafer; Shigang Yue; Hongbiao Dong; Zhou Daniel Hao,https://icml.cc/virtual/2026/poster/63997,"Vision–Language–Action (VLA) policies often fail under distribution shift, suggesting that decisions may depend on spurious visual correlations rather than task-relevant causes. We formulate visual–action attribution as an interventional estimation problem. Accordingly, we introduce the Interventional Significance Score (ISS) , an interventional masking procedure for estimating the causal influence of visual regions on action predictions, and the Nuisance Mass Ratio (NMR) , a scalar measure of attribution to task-irrelevant features. We analyze the statistical properties of ISS and show that i",https://openreview.net/forum?id=RtsbiUJ2aK,
VLA Models,Escaping the Diversity Trap in Robotic Manipulation via Anchor-Centric Adaptation,Yanzhe Chen; Kevin Yuchen; Qi Lv; Lin Yiqi; Zechen Bai; Chen GAO; Mike Zheng Shou,https://icml.cc/virtual/2026/poster/66510,"While Vision-Language-Action (VLA) models offer broad general capabilities, deploying them on specific hardware requires real-world adaptation to bridge the embodiment gap. Since robot demonstrations are costly, this adaptation must often occur under a strict data budget. In this work, we identify a critical diversity trap : the standard heuristic of ``maximizing coverage"" by collecting diverse, single-shot demonstrations can be self-defeating due to non-vanishing estimation noise. We formalize this phenomenon as a Coverage--Density Trade-off . By decomposing the policy error into estimation (",https://openreview.net/forum?id=34E2z2oVhd,https://arxiv.org/abs/2605.07381
VLA Models,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,Bing Hu; Zaijing Li; Rui Shao; Junda Chen; April Hua Liu; Wei-Shi Zheng; Liqiang Nie,https://icml.cc/virtual/2026/poster/66596,"Vision-Language-Action (VLA) models often suffer from performance degradation under distribution shifts, as they struggle to learn generalized behavior representations across varying environments. While existing approaches attempt to construct behavior representations through action-centric latent variables, they are often limited by short-horizon temporal fragmentation and static execution-alignment, leading to inconsistent behaviors in complex scenarios. To address these limitations, we propose \textbf{BehaviorVLA}, a framework that facilitates robust manipulation through the learning of a t",https://openreview.net/forum?id=2NRrsz4nUB,https://arxiv.org/abs/2605.22671
VLA Models,From Noise to Intent: Anchoring Generative VLA Policies with Residual Bridges,Yiming Zhong; Yaoyu He; Zemin Yang; Pengfei Tian; Yifan Huang; Qingqiu Huang; Xinge Zhu; Yuexin Ma,https://icml.cc/virtual/2026/poster/62908,"Bridging high-level semantic understanding with low-level physical control remains a persistent challenge in embodied intelligence, stemming from the fundamental spatiotemporal scale mismatch between cognition and action. Existing generative policies typically adopt a ""Generation-from-Noise"" paradigm, which disregards this disparity, leading to representation inefficiency and optimization ""Loss Collapse"". In this work, we propose ResVLA, a novel architecture that shifts the paradigm to ""Refinement-from-Intent"". Recognizing that robotic motion naturally decomposes into global intent and local d",https://openreview.net/forum?id=c0DDRZoMNf,https://arxiv.org/abs/2604.21391
